year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2017,Putnam County; West Virginia,56644,27904,28740,97.1,3271,3615,3695,3453,2775,6591,7640,8068,3914,4146,5704,3056,716,41.6,12909,45403,43735,42071,12117,9476,43735,21339,22396,95.3,9476,4307,5169,83.3,56644,55895,749,55895,54614,694,90,52,0,0,0,324,55,54,079,7,112,43,29,48,30,12,12,0,0,0,161,749,219,277,229,0,56644,55363,937,391,553,12,161,56644,629,511,25,48,45,56015,54072,694,59,324,12,118,736,0,736,23978,43623,21263,22360
2017,Barbour County; West Virginia,16790,8165,8625,94.7,878,922,957,1322,1392,1713,1887,2250,1036,1315,1869,837,412,40.9,3374,13802,13416,12296,3866,3118,13416,6409,7007,91.5,3118,1455,1663,87.5,16790,16562,228,16562,16215,154,63,0,0,0,0,114,18,54,001,17,0,6,33,0,40,0,0,0,0,0,16,228,26,129,0,0,16790,16443,253,265,114,0,16,16790,149,85,37,0,27,16641,16076,154,63,114,0,6,228,0,228,7901,13382,6399,6983
2017,Boone County; West Virginia,23236,11530,11706,98.5,1247,1571,1335,1449,1192,2392,3203,3163,1739,1863,2481,1252,349,42.5,5123,18817,18113,17424,5229,4082,18113,8882,9231,96.2,4082,1876,2206,85.0,23236,23099,137,23099,22822,184,9,4,0,0,0,40,0,54,005,0,0,23,17,0,0,0,0,0,0,0,44,137,30,79,26,0,23236,22959,214,88,66,0,46,23236,133,95,2,10,26,23103,22733,184,9,40,0,4,133,0,133,11155,18103,8882,9221
2017,McDowell County; West Virginia,19707,10178,9529,106.8,1172,1168,1041,919,970,2341,2524,2605,1695,1510,2175,1229,358,44.0,3984,16115,15723,15219,4664,3762,15723,8138,7585,107.3,3762,1715,2047,83.8,19707,19411,296,19411,17575,1630,24,0,0,0,0,0,0,54,047,0,0,0,0,0,0,0,0,0,0,0,182,296,253,0,0,0,19707,17871,1883,24,0,0,225,19707,308,224,16,13,55,19399,17486,1617,24,0,0,0,272,19,253,11228,15496,7915,7581
2017,Wayne County; West Virginia,41063,19968,21095,94.7,2180,2068,2868,2456,2281,4402,5153,5684,3276,2799,4596,2241,1059,43.3,8738,33413,32325,30881,9656,7896,32325,15552,16773,92.7,7896,3639,4257,85.5,41063,40562,501,40562,40194,114,50,19,0,0,0,89,13,54,099,68,4,2,2,0,0,0,0,0,0,0,115,501,217,217,62,0,41063,40695,331,267,151,0,120,41063,258,120,117,4,17,40805,40050,114,50,89,0,1,501,5,496,19328,32250,15495,16755
2017,Wyoming County; West Virginia,22130,10894,11236,97.0,1199,1390,1219,1312,1151,2269,2918,2884,1616,2029,2555,1190,398,43.8,4677,18092,17453,16805,5238,4143,17453,8505,8948,95.0,4143,1882,2261,83.2,22130,21867,263,21867,21567,191,4,0,0,0,0,68,0,54,109,0,33,35,0,0,0,0,0,0,0,0,37,263,187,53,23,0,22130,21830,378,57,91,0,37,22130,56,7,28,0,21,22074,21548,191,4,68,0,0,263,0,263,10908,17420,8472,8948
2017,Jackson County; West Virginia,29123,14440,14683,98.3,1655,1991,1626,1801,1534,3200,3504,4056,1912,2307,3028,1660,849,43.0,6384,23632,22739,21625,6823,5537,22739,11057,11682,94.6,5537,2495,3042,82.0,29123,28774,349,28774,28415,27,222,222,0,0,0,90,8,54,035,9,37,4,4,0,28,0,0,0,0,0,20,349,286,34,29,0,29123,28764,313,256,119,0,20,29123,125,125,0,0,0,28998,28290,27,222,90,0,20,349,0,349,13378,22698,11026,11672
2017,Berkeley County; West Virginia,111610,54961,56649,97.0,6971,7526,7716,6837,6400,14835,15232,16245,7954,6626,9609,4292,1367,38.8,26764,87423,84846,81059,19144,15268,84846,41446,43400,95.5,15268,7116,8152,87.3,111610,108597,3013,108597,97381,8372,97,20,0,0,46,1222,382,54,003,107,343,20,147,52,171,100,41,0,59,0,1425,3013,1557,575,293,0,111610,100296,10332,898,1777,170,1549,111610,4486,1839,1347,253,1047,107124,94395,7997,97,1199,100,561,2775,10,2765,47213,83250,40842,42408
2017,Mercer County; West Virginia,60963,29134,31829,91.5,3598,3936,2873,3532,3940,7020,7102,7655,4309,4695,7044,3749,1510,42.7,12560,49833,48403,46076,15049,12303,48403,22776,25627,88.9,12303,5361,6942,77.2,60963,59972,991,59972,55599,3741,179,117,0,0,0,402,11,54,055,2,279,26,16,0,68,20,0,20,0,0,31,991,599,202,33,1,60963,56589,4341,390,442,150,57,60963,645,198,232,14,201,60318,55122,3689,179,391,0,19,918,18,900,30000,48111,22621,25490
2017,Upshur County; West Virginia,24604,12252,12352,99.2,1365,1495,1377,1685,1949,2694,2758,3217,1705,1722,2687,1437,513,41.8,5037,20119,19567,18222,5490,4637,19567,9712,9855,98.5,4637,2193,2444,89.7,24604,24434,170,24434,23966,324,59,11,0,0,23,41,0,54,097,0,0,19,22,0,0,33,33,0,0,0,11,170,59,47,4,0,24604,24136,417,140,45,52,18,24604,307,52,140,83,32,24297,23694,316,43,41,33,0,170,7,163,11293,19453,9622,9831
2017,Webster County; West Virginia,8637,4286,4351,98.5,475,552,432,456,454,816,1002,1201,689,722,1123,445,270,46.2,1757,7078,6880,6668,2266,1838,6880,3386,3494,96.9,1838,870,968,89.9,8637,8625,12,8625,8606,3,10,0,0,0,0,0,0,54,101,0,0,0,0,0,0,6,0,0,0,6,0,12,5,7,0,0,8637,8618,8,17,0,6,0,8637,0,0,0,0,0,8637,8606,3,10,0,6,0,12,0,12,5445,6880,3386,3494
2017,Fayette County; West Virginia,44602,22404,22198,100.9,2639,2483,2623,2519,2312,5051,5653,5838,3334,3657,5006,2384,1103,43.3,9327,36413,35275,33888,10662,8493,35275,17641,17634,100.0,8493,3753,4740,79.2,44602,44229,373,44229,41679,2297,141,93,0,0,0,56,0,54,019,5,30,0,7,0,14,0,0,0,0,0,56,373,64,173,99,0,44602,42039,2361,314,155,13,93,44602,482,105,220,3,154,44120,41255,2297,141,56,0,21,350,14,336,21563,35083,17506,17577
